% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=858980, Tue Dec  7 00:38:41 2021, <python>{}</python>
1 10 0.1998847626949793 1.0000499954660416 85 8.5000000000000000e+01 163 278   
2 20 0.1997712733111331 1.0000499954660416 85 8.5000000000000000e+01 85 144   
3 30 0.19965933313213816 1.0000499954660416 8 8.0000000000000000e+00 103 189   
4 40 0.19955067633248547 1.0000499954660416 8 8.2000000000000000e+01 133 204   
5 50 0.1994448816337043 1.0000499954660416 8 9.9000000000000000e+01 144 173   
6 60 0.19934196321746753 1.0000499954660416 8 3.8000000000000000e+01 144 173   
7 70 0.19924258124291988 1.0000499954660416 8 1.3200000000000000e+02 156 174   
8 80 0.19914428860165226 1.0000499954660416 8 3.8000000000000000e+01 132 138   
9 90 0.19904790332861055 1.0000499954660416 8 1.2200000000000000e+02 132 139   
10 100 0.19895382970964925 1.0000499954660416 8 1.0600000000000000e+02 151 166   
11 110 0.19886273924510495 1.0000499954660416 8 9.4000000000000000e+01 132 158   
